0	0	a	Dung dc sp tot cam on . shop Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời
1	0	a	Chất lượng sản phẩm tuyệt vời . Son mịn nhưng khi đánh lên không như màu trên ảnh
2	0	a	chất lượng sản phẩm tuyệt vời nhưng không có hộp không có dây giày đen không có tất
3	1	a	mình hơi thất vọng 1 chút vì mình đã kỳ vọng cuốn sách khá nhiều hi vọng nó sẽ nói về việc học tập của cách sinh viên trường harvard ra sao những nỗ lực của họ như thế nào 4h sáng tại sao họ lại phải thức dậy vào thời khắc đấy sau đó là cả một câu chuyện ra sao cái mình thực sự cần ở đây là câu chuyện ẩn dấu trong đó để tự bản thân mỗi người cảm nhận và đi sâu vào lòng người hơn còn cuốn sách này chỉ đơn thuần là cuốn sách dạy kĩ năng mà hầu như sách nào cũng đã có buồn
4	1	a	lần trước mình mua áo gió màu hồng rất ok mà đợt này lại giao 2 cái áo gió chất khác như vải mưa ý
5	0	a	chất lượng sản phẩm tuyệt vời có điều không cứng cáp với không cố định dáng nói chung đẹp hợp túi tiền
6	0	a	đã nhận được hàng rất nhanh mới đặt buổi tối mà trưa mai là có rồi đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt
7	1	a	các siêu phẩm thấy cấu hình toàn tựa tựa nhau không còn sự đột phá lớn nữa chỉ là nâng cấp khác nhau về kiểu dáng htc này với giá trên thật lòng khó cạnh tranh mạnh với siêu phẩm khác chỉ dành cho fan của họ thôi
8	0	a	hàng giao hàng nhanh chất lượng tốt tư vấn nhiệt tình giao hàng rất đung cỡ sẽ ủng hộ cửa hàng nhìu 
9	1	a	đồng hồ đẹp nhưng 1 cái đứt dây 1 cái không chạy mua ve phải sửa
10	0	a	chất lượng sản phẩm tuyệt vời y hình chụp đáng tiền
11	0	a	cửa hàng giao hàng nhanh quá đẹp lắm ạ bé nhà mình rất thích
12	0	a	nhìn đẹp phết nhỉ
13	0	a	đóng gói rất đẹp chất lượng sản phẩm rất tốt chất lượng sản phẩm tuyệt vời
14	0	a	săn được với giá 11k toẹt vời
15	0	a	ok rất hài lòng
16	1	a	giao thiếu mình cái này rồi cửa hàng ơi t t
17	0	a	chất lượng sản phẩm tuyệt vời tôi rất thích
18	0	a	giày đẹp lắm có điều dây hơi ngắn tí ạ chất lượng sản phẩm tuyệt vời
19	0	a	yếm vải đẹp nhưng ít mẫu đẹp
20	0	a	chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn cửa hàng phục vụ rất tốt rất đáng tiền rất đáng tiền giao hàng hôm sau là có
21	1	a	không hài lòng sản phẩm cho lắm giặt lan đầu tiên da nhoe màu hết rồi
22	0	a	giao hàng nhanh mặc đẹp cám ơn cửa hàng
23	0	a	chất lượng sản phẩm tuyệt vời bao bì dễ thương phô mai que son đánh mịn cực không có bị bột à còn giao hành max nhanh luôn
24	1	a	đồng hồ thì đẹp thật nhưng tại sao kim lúc chạy lúc đứng nhắn tin thì không trả lời mấy bạn lưu ý đừng mua nữa
25	0	a	giao hàng siêu nhanh đóng gói cẩn thận và tư vấn nhiệt tình hạt điều thấm vị và giòn
26	1	a	cũng hơi bất tiện xu thế này e rằng đa phằn người dùng sẽ không ưa thích
27	1	a	toàn hàng trungkhi mua quên không coi kĩ
28	0	a	đóng gói sản phẩm rất đẹp và chắc chắn được cửa hàng tặng thêm quà nữa
29	0	a	hôm nay chiên thử cá hồi cá chiên ăn ngọt hơn chiên kiểu truyền thống vì giữ được nước chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất đẹp và chắc chắn
30	1	a	máy này có cái cpu không phải skylake là thấy không hay rồi
31	0	a	hàng vận chuyển bị nứt mẻ 1 góc chất lượng ok
32	1	a	sạc tự động ngắt pin
33	1	a	cửa hàng giao hàng không giống màu
